Afghanistan,Islamic Republic of Afghanistan
Albania,Republic of Albania
Algeria,People's Democratic Republic of Algeria
Andorra,Principality of Andorra
Angola,Republic of Angola
Antigua and Barbuda,none
Argentina,Argentine Republic
Armenia,Republic of Armenia
Australia,Commonwealth of Australia
Austria,Republic of Austria
Azerbaijan,Republic of Azerbaijan
"Bahamas, The",Commonwealth of The Bahamas
Bahrain,Kingdom of Bahrain
Bangladesh,People's Republic of Bangladesh
Barbados,none
Belarus,Republic of Belarus
Belgium,Kingdom of Belgium
Belize,none
Benin,Republic of Benin
Bhutan,Kingdom of Bhutan
Bolivia,Republic of Bolivia
Bosnia and Herzegovina,none
Botswana,Republic of Botswana
Brazil,Federative Republic of Brazil
Brunei,Negara Brunei Darussalam
Bulgaria,Republic of Bulgaria
Burkina Faso,none
Burma,Union of Burma
Burundi,Republic of Burundi
Cambodia,Kingdom of Cambodia
Cameroon,Republic of Cameroon
Canada,none
Cape Verde,Republic of Cape Verde
Central African Republic,Central African Republic
Chad,Republic of Chad
Chile,Republic of Chile
China,People's Republic of China
Colombia,Republic of Colombia
Comoros,Union of the Comoros
Congo (Brazzaville),Republic of the Congo
Congo (Kinshasa),Democratic Republic of the Congo
Costa Rica,Republic of Costa Rica
Cote d'Ivoire,Republic of Cote d'Ivoire
Croatia,Republic of Croatia
Cuba,Republic of Cuba
Cyprus,Republic of Cyprus
Cyprus (Turkey),
Czech Republic,Czech Republic
Czechoslovakia,Czech and Slovak Federative Republic
Denmark,Kingdom of Denmark
Djibouti,Republic of Djibouti
Dominica,Commonwealth of Dominica
Dominican Republic,Dominican Republic
East Timor,Democratic Republic of Timor-Leste
Ecuador,Republic of Ecuador
Egypt,Arab Republic of Egypt
El Salvador,Republic of El Salvador
Equatorial Guinea,Republic of Equatorial Guinea
Eritrea,State of Eritrea
Estonia,Republic of Estonia
Ethiopia,Federal Democratic Republic of Ethiopia
Fiji,Republic of the Fiji Islands
Finland,Republic of Finland
France,French Republic
Gabon,
"Gambia, The",Republic of The Gambia
Georgia,
Germany,Federal Republic of Germany
"Germany, E",
"Germany, W",
Ghana,Republic of Ghana
Greece,Hellenic Republic
Grenada,none
Guatemala,Republic of Guatemala
Guinea,Republic of Guinea
Guinea-Bissau,Republic of Guinea-Bissau
Guyana,Cooperative Republic of Guyana
Haiti,Republic of Haiti
Honduras,Republic of Honduras
Hungary,Republic of Hungary
Iceland,Republic of Iceland
India,Republic of India
Indonesia,Republic of Indonesia
Iran,Islamic Republic of Iran
Iraq,Republic of Iraq
Ireland,none
Israel,State of Israel
Italy,Italian Republic
Jamaica,none
Japan,none
Jordan,Hashemite Kingdom of Jordan
Kazakhstan,Republic of Kazakhstan
Kenya,Republic of Kenya
Kiribati,Republic of Kiribati
Kuwait,State of Kuwait
Kyrgyzstan,Kyrgyz Republic
Laos PDR or Laos,Lao People's Democratic Republic
Latvia,Republic of Latvia
Lebanon,Lebanese Republic
Lesotho,Kingdom of Lesotho
Liberia,Republic of Liberia
Libya,Great Socialist People's Libyan Arab Jamahiriya
Liechtenstein,Principality of Liechtenstein
Lithuania,Republic of Lithuania
Luxembourg,Grand Duchy of Luxembourg
Macedonia,Republic of Macedonia
Madagascar,Republic of Madagascar
Malawi,Republic of Malawi
Malaysia,none
Maldives,Republic of Maldives
Mali,Republic of Mali
Malta,Republic of Malta
Marshall Islands,Republic of the Marshall Islands
Mauritania,Islamic Republic of Mauritania
Mauritius,Republic of Mauritius
Mexico,United Mexican States
Micronesia,Federated States of Micronesia
Moldova,Republic of Moldova
Monaco,Principality of Monaco
Mongolia,none
Montenegro,Republic of Montenegro
Morocco,Kingdom of Morocco
Mozambique,Republic of Mozambique
Namibia,Republic of Namibia
Nauru,Republic of Nauru
Nepal,Nepal
Netherlands,Kingdom of the Netherlands
New Zealand,none
Nicaragua,Republic of Nicaragua
Niger,Republic of Niger
Nigeria,Federal Republic of Nigeria
North Korea,Democratic People's Republic of Korea
Norway,Kingdom of Norway
Oman,Sultanate of Oman
Pakistan,Islamic Republic of Pakistan
Palau,Republic of Palau
Panama,Republic of Panama
Papua New Guinea,Independent State of Papua New Guinea
Paraguay,Republic of Paraguay
Peru,Republic of Peru
Philippines,Republic of the Philippines
Poland,Republic of Poland
Portugal,Portuguese Republic
Qatar,State of Qatar
Romania,none
Russia,Russian Federation
Rwanda,Republic of Rwanda
Samoa,Independent State of Samoa
San Marino,Republic of San Marino
Sao Tome and Principe,Democratic Republic of Sao Tome and Principe
Saudi Arabia,Kingdom of Saudi Arabia
Senegal,Republic of Senegal
Serbia,Republic of Serbia
Serbia & Montenegro,
Seychelles,Republic of Seychelles
Sierra Leone,Republic of Sierra Leone
Singapore,Republic of Singapore
Slovakia,Slovak Republic
Slovenia,Republic of Slovenia
Solomon Islands,none
Somalia,none
South Africa,Republic of South Africa
South Korea,Republic of Korea
Spain,Kingdom of Spain
Sri Lanka,Democratic Socialist Republic of Sri Lanka
St. Kitts & Nevis,
St. Lucia,
St. Vincent & Grenadines,
Sudan,Republic of the Sudan
Suriname,Republic of Suriname
Swaziland,Kingdom of Swaziland
Sweden,Kingdom of Sweden
Switzerland,Swiss Confederation
Syria,Syrian Arab Republic
Taiwan,none
Tajikistan,Republic of Tajikistan
Tanzania,United Republic of Tanzania
Thailand,Kingdom of Thailand
Togo,Togolese Republic
Tonga,Kingdom of Tonga
